time,x,y,z,qx,qy,qz,qw
1762983351.1830657,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.199865,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.2251892,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.2449026,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.2646966,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.2810538,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.300679,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.320732,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.3418686,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.3606832,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.382247,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.4007237,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.4273896,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.4404821,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.4710858,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.4798477,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.5046635,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.5210977,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.543031,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.5624092,-2.6524210970365885,4.96975237158723,0.0,0.00390625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.5813973,-2.6524210970365885,4.96975237158723,0.0,0.00396728515625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.6003306,-2.6524210970365885,4.96975237158723,0.0,0.00396728515625,-0.0146484375,0.9998779296875,0.00787353515625
1762983351.6223166,-2.6524210970365885,4.96975237158723,0.0,0.00396728515625,-0.0146484375,0.9998779296875,0.00787353515625
