time,x,y,z,qx,qy,qz,qw
1762983351.1837413,-2.6524210970365885,4.96975237158723,0.0,0.00384521484375,-0.0146484375,0.9998779296875,0.00787353515625
1762983476.2814577,-2.7545171852650907,4.970828669449586,0.0,0.0062255859375,-0.06341552734375,0.9979248046875,0.00567626953125
1762983476.4070768,-2.8566043909620586,4.972552642081511,0.0,0.00384521484375,-0.02581787109375,0.9996337890625,0.008544921875
1762983476.5007482,-2.958688452719397,4.974453690154161,0.0,0.0078125,-0.0343017578125,0.99932861328125,0.00958251953125
1762983476.6628509,-3.060763829142082,4.976774719412465,0.0,0.009521484375,-0.03009033203125,0.99945068359375,0.01165771484375
1762983476.8024886,-3.1628281546462795,4.9795393365692915,0.0,0.00537109375,-0.0238037109375,0.9996337890625,0.013671875
1762983476.9210227,-3.2648896284151676,4.9824073011390135,0.0,0.0098876953125,-0.0177001953125,0.99969482421875,0.01422119140625
1762983477.1053767,-3.3669582162918537,4.985009803302293,0.0,0.00848388671875,-0.0225830078125,0.9996337890625,0.012939453125
1762983477.2850857,-3.4690316041001283,4.987416699642445,0.0,0.0078125,-0.02227783203125,0.9996337890625,0.011962890625
1762983477.4419503,-3.5711069737497514,4.989738026750686,0.0,0.0072021484375,-0.04705810546875,0.998779296875,0.01171875
1762983477.5407171,-3.6731821385866206,4.992068342647004,0.0,0.00592041015625,-0.04010009765625,0.99908447265625,0.01165771484375
1762983477.6408398,-3.7752561334079853,4.994449357106989,0.0,0.009033203125,-0.0394287109375,0.99908447265625,0.01202392578125
1762983477.7613108,-3.877332240562957,4.99673802412893,0.0,0.01104736328125,-0.03997802734375,0.99908447265625,0.01165771484375
1762983477.8808138,-3.9794048353898877,4.999178317953016,0.0,0.0067138671875,-0.03704833984375,0.99920654296875,0.01220703125
1762983477.9621468,-4.081483319356592,5.001358400453724,0.0,0.009033203125,-0.02728271484375,0.99951171875,0.01092529296875
1762983478.0630314,-4.18355734747105,5.003737987211865,0.0,0.00982666015625,-0.0250244140625,0.99957275390625,0.01190185546875
1762983478.1807292,-4.2856423255466956,5.0055891760044045,0.0,0.0069580078125,-0.03826904296875,0.99920654296875,0.00933837890625
1762983478.300697,-4.38773041616412,5.007259925159466,0.0,0.00469970703125,-0.02484130859375,0.9996337890625,0.00830078125
1762983478.3823984,-4.489823165202391,5.008616480524877,0.0,0.0064697265625,-0.0294189453125,0.99951171875,0.0068359375
1762983478.4810991,-4.591913032731679,5.0101748760148315,0.0,0.00994873046875,-0.03021240234375,0.99945068359375,0.0079345703125
1762983478.6466951,-4.694004218583505,5.011644372533526,0.0,0.0087890625,-0.0416259765625,0.99908447265625,0.007568359375
1762983478.762127,-4.796088959932224,5.013508570059495,0.0,0.0040283203125,-0.02093505859375,0.999755859375,0.00921630859375
1762983478.841322,-4.898176139497564,5.015234089414524,0.0,0.00665283203125,-0.03192138671875,0.99945068359375,0.0086669921875
1762983478.9630463,-5.000252446522706,5.017513824653466,0.0,0.00933837890625,-0.03277587890625,0.99932861328125,0.011474609375
1762983479.121256,-5.102322466749619,5.020059530749624,0.0,0.00518798828125,-0.02008056640625,0.99969482421875,0.0125732421875
1762983479.2815223,-5.204392376042356,5.022609680867405,0.0,0.00848388671875,-0.02410888671875,0.99957275390625,0.0126953125
1762983479.404556,-5.3064609433552326,5.025212989406052,0.0,0.01104736328125,-0.022705078125,0.99957275390625,0.01300048828125
1762983479.52645,-5.40852821581577,5.02786657963762,0.0,0.00836181640625,-0.02923583984375,0.99945068359375,0.01324462890625
