time,x,y,z,qx,qy,qz,qw
1762983431.504379,-3.21388497389853,4.491698386147618,0.0,-0.0,0.0,0.999999999999999,-4.371138977981781e-08
1762983431.504379,-3.3533350491772356,4.491698386150118,0.0,0.0,0.0,1.0,8.972661672755547e-12
1762983431.504379,-3.4927851244559407,4.4916983861526205,0.0,0.0,0.0,1.0,8.972661672755547e-12
1762983431.504379,-3.6322351997346463,4.4916983861551225,0.0,0.0,0.0,1.0,8.972661672755547e-12
1762983431.504379,-3.7716852750133514,4.491698386157625,0.0,0.0,0.0,1.0,8.972661672755547e-12
1762983431.504379,-3.911135350292057,4.491698386160127,0.0,0.0,0.0,1.0,8.972661672755547e-12
1762983431.504379,-4.0505854255707625,4.49169838616263,0.0,0.0,0.0,1.0,1.5905038969553497e-10
1762983431.504379,-4.190035500159089,4.4916983862069895,0.0,0.0,0.0,1.0,6.178744795284226e-10
1762983431.504379,-4.3294855726458445,4.491698386379315,0.0,0.0,0.0,1.0,2.3669353756452392e-09
1762983431.504379,-4.468935637149613,4.491698387039453,0.0,0.0,0.0,1.0,8.937410206525596e-09
1762983431.504379,-4.60838567177611,4.491698389532098,0.0,0.0,0.0,0.9999999999999994,3.323023107254873e-08
1762983431.504379,-4.747835596394697,4.491698398800004,0.0,0.0,0.0,0.9999999999999927,1.2145016465309512e-07
1762983431.504379,-4.887285123420217,4.49169843267234,0.0,0.0,0.0,0.9999999999999053,4.35290410222434e-07
1762983431.504379,-5.026733243914027,4.491698554073199,0.0,0.0,0.0,0.9999999999988366,1.5254005832405996e-06
1762983431.504379,-5.16617651134786,4.491698979486882,0.0,0.0,0.0,0.9999999999864423,5.207257394650396e-06
1762983431.504379,-5.305603520165795,4.491700431551528,0.0,0.0,0.0,0.9999999998514391,1.723722183775845e-05
1762983431.504379,-5.44497794913207,4.491705236407431,0.0,0.0,0.0,0.9999999984863893,5.5020190068701316e-05
1762983431.504379,-5.5841895042523575,4.4917205552999455,0.0,0.0,0.0,0.9999999858498648,0.00016822684155676687
1762983431.504379,-5.722922921029382,4.4917672326709726,0.0,0.0,0.0,0.9999998803529915,0.0004891768624842246
1762983431.504379,-5.860346149481747,4.491901681246685,0.0,0.0,0.0,0.9999990970341909,0.00134384924860592
1762983431.504379,-5.994493457986987,4.492262229742849,0.0,0.0,0.0,0.9999939813262021,0.003469482868010839
1762983431.504379,-6.1214322028294355,4.493143069248373,0.0,0.0,0.0,0.9999651915435415,0.008343602416723639
1762983431.504379,-6.2352595639951485,4.495042728114677,0.0,0.0,0.0,0.9998390425444587,0.01794126538960534
1762983431.504379,-6.331634966507193,4.498502592224095,0.0,0.0,0.0,0.9995361620716819,0.03045423962295447
1762983431.504379,-6.414858736408092,4.50357869003856,0.0,0.0,0.0,0.9991775540179125,0.040548927812970516
1762983431.504379,-6.490834790367694,4.509755429378455,0.0,0.0,0.0,0.998926925285818,0.04631412245764584
1762983431.504379,-6.563511278169353,4.516509074171602,0.0,0.0,0.0,0.9988019497102991,0.04893531705123659
1762983431.504379,-6.634866127749887,4.523517819104919,0.0,0.0,0.0,0.9987509310585898,0.04996576537590466
1762983431.504379,-6.705738153195463,4.53062681909359,0.0,0.0,0.0,0.9987324265830186,0.05033428346162486
1762983431.504379,-6.776445653439259,4.53777202452633,0.0,0.0,0.0,0.9987262052571959,0.05045757557157732
1762983431.504379,-6.84709987427447,4.5449294688739075,0.0,0.0,0.0,0.9987242403480057,0.05049645275956514
1762983431.504379,-6.917737639261413,4.552090802089637,0.0,0.0,0.0,0.9987236578030319,0.05050797307883652
1762983431.504379,-6.988370585336983,4.559253293018552,0.0,0.0,0.0,0.9987234719843792,0.050511647245629655
1762983431.504379,-7.059002012137179,4.566416154917155,0.0,0.0,0.0,0.9987234210178428,0.050512654953156384
1762983431.504379,-7.129633039346434,4.5735791202911855,0.0,0.0,0.0,0.9987234149686688,0.05051277455575113
1762983431.504379,-7.200264059859014,4.58074210207697,0.0,0.0,0.0,0.9987233917563161,0.05051323350133123
1762983431.504379,-7.270894978814553,4.587905139145442,0.0,0.0,0.0,0.9987233828278391,0.05051341003058085
1762983431.504379,-7.3415259434527425,4.595068206072364,0.0,0.0,0.0,0.9987233992405248,0.050513085526932934
1762983431.504379,-7.412157098169836,4.602231245905414,0.0,0.0,0.0,0.9987234164617668,0.05051274503465852
